"Name","PlayerID","Year","Tm","Age","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","USG","Rank","First","Pts.Won","Pts.Max","Share","MVP"
"Magic Johnson","johnsma02",1991,"LAL",31,79,0.707317073170732,0.963414634146341,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251,62.3,8.5,0,8.5,22.9,2,10,497,960,0.518,0
"David Robinson","robinda01",1991,"SAS",25,82,0.670731707317073,1,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264,61.5,2.8,5.6,8.4,26.6,3,6,476,960,0.496,0
"Charles Barkley","barklch01",1991,"PHI",27,67,0.536585365853659,0.817073170731707,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258,63.5,7.5,0.7,8.2,29.1,4,2,222,960,0.231,0
"Karl Malone","malonka01",1991,"UTA",27,82,0.658536585365854,1,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225,59.6,3.3,0.9,4.2,30.1,5,0,142,960,0.148,0
"Clyde Drexler","drexlcl01",1991,"POR",28,82,0.768292682926829,1,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209,56.3,5.4,1.5,6.9,25.7,6,1,75,960,0.078,0
"Kevin Johnson","johnske02",1991,"PHO",24,77,0.670731707317073,0.939024390243902,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22,60.4,6.4,0.8,7.2,24.8,7,0,32,960,0.033,0
"Dominique Wilkins","wilkido01",1991,"ATL",31,81,0.524390243902439,0.98780487804878,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177,55.5,4.6,0.5,5,28.1,8,0,29,960,0.03,0
"Larry Bird","birdla01",1991,"BOS",34,60,0.682926829268293,0.731707317073171,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14,53,2.7,1.7,4.4,23.7,9,0,25,960,0.026,0
"Terry Porter","portete01",1991,"POR",27,81,0.768292682926829,0.98780487804878,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235,63.2,6.4,1.6,8.1,19.6,9,0,25,960,0.026,0
"Patrick Ewing","ewingpa01",1991,"NYK",28,81,0.475609756097561,0.98780487804878,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155,56.1,-0.5,2.7,2.2,31.1,11,0,20,960,0.021,0
"John Stockton","stockjo01",1991,"UTA",28,82,0.658536585365854,1,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,0.217,60.4,7.8,2.2,10,20.9,12,0,15,960,0.016,0
"Isiah Thomas","thomais01",1991,"DET",29,48,0.609756097560976,0.585365853658537,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,0.098,50.7,1.8,0.5,2.3,25.2,13,0,11,960,0.011,0
"Robert Parish","parisro01",1991,"BOS",37,81,0.682926829268293,0.98780487804878,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,0.198,63.7,1.2,1.7,2.9,19,14,0,10,960,0.01,0
"Joe Dumars","dumarjo01",1991,"DET",27,80,0.609756097560976,0.975609756097561,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155,55.2,2.9,-0.3,2.6,24,15,0,8,960,0.008,0
"Bernard King","kingbe01",1991,"WSB",34,64,0.365853658536585,0.780487804878049,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07,52.7,0.1,-1.6,-1.5,34.4,16,0,7,960,0.007,0
"Kenny Smith","smithke01",1991,"HOU",25,78,0.634146341463415,0.951219512195122,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9,0.161,59.9,2.9,-0.6,2.3,21.2,17,0,5,960,0.005,0
"Hakeem Olajuwon","olajuha01",1991,"HOU",28,56,0.634146341463415,0.682926829268293,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,0.201,54.9,-0.1,7,6.9,25,18,0,4,960,0.004,0
"Tim Hardaway","hardati01",1991,"GSW",24,82,0.536585365853659,1,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148,54.7,4.8,0.6,5.4,24.7,19,0,1,960,0.001,0
"Kevin McHale","mchalke01",1991,"BOS",33,68,0.682926829268293,0.829268292682927,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182,60.6,2.1,-0.1,2,23.9,19,0,1,960,0.001,0
"Magic Johnson","johnsma02",1990,"LAL",30,79,0.768292682926829,0.963414634146341,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,62.2,9,0.5,9.5,24.8,1,27,636,920,0.691,1
"Charles Barkley","barklch01",1990,"PHI",26,79,0.646341463414634,0.963414634146341,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269,66.1,7.6,1.4,9,24,2,38,614,920,0.667,0
"Michael Jordan","jordami01",1990,"CHI",26,82,0.670731707317073,1,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285,60.6,8.6,2,10.6,33.7,3,21,564,920,0.613,0
"Karl Malone","malonka01",1990,"UTA",26,82,0.670731707317073,1,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245,62.6,4.4,1.1,5.6,32.6,4,2,214,920,0.233,0
"Patrick Ewing","ewingpa01",1990,"NYK",27,82,0.548780487804878,1,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205,59.9,1.4,2.5,3.9,29.4,5,1,162,920,0.176,0
"David Robinson","robinda01",1990,"SAS",24,82,0.682926829268293,1,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241,59.7,1.8,5.3,7.1,26.6,6,2,102,920,0.111,0
"Hakeem Olajuwon","olajuha01",1990,"HOU",27,82,0.5,1,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173,54.1,-1.4,6.8,5.4,28.1,7,1,64,920,0.07,0
"Tom Chambers","chambto01",1990,"PHO",30,81,0.658536585365854,0.98780487804878,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176,57.9,2.4,0.1,2.5,28.8,8,0,12,920,0.013,0
"John Stockton","stockjo01",1990,"UTA",27,78,0.670731707317073,0.951219512195122,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238,60.7,8.3,1.9,10.2,20.6,9,0,9,920,0.01,0
"Larry Bird","birdla01",1990,"BOS",33,75,0.634146341463415,0.914634146341463,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154,54.6,3.9,1.3,5.2,27.4,10,0,5,920,0.005,0
"Buck Williams","willibu01",1990,"POR",29,82,0.719512195121951,1,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0,0.706,8.7,0.149,59.7,0.3,0.5,0.8,15.5,10,0,5,920,0.005,0
"Clyde Drexler","drexlcl01",1990,"POR",27,73,0.719512195121951,0.890243902439024,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,0.208,55.1,5.1,1.8,6.9,25.5,12,0,3,920,0.003,0
"Joe Dumars","dumarjo01",1990,"DET",26,75,0.719512195121951,0.914634146341463,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,0.162,55.5,2.6,-0.4,2.2,22.5,13,0,1,920,0.001,0
"Isiah Thomas","thomais01",1990,"DET",28,81,0.719512195121951,0.98780487804878,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107,50.1,1.9,0.9,2.8,26,13,0,1,920,0.001,0
"Magic Johnson","johnsma02",1989,"LAL",29,77,0.695121951219512,0.939024390243902,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,62.5,8.8,0.5,9.3,24.3,1,42.5,664.5,850,0.782,1
"Michael Jordan","jordami01",1989,"CHI",25,81,0.573170731707317,0.98780487804878,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292,61.4,8.4,2.8,11.2,32.1,2,27.5,598.8,850,0.704,0
"Karl Malone","malonka01",1989,"UTA",25,80,0.621951219512195,0.975609756097561,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233,59.2,2.7,1.9,4.6,30.4,3,5,362,850,0.426,0
"Patrick Ewing","ewingpa01",1989,"NYK",26,80,0.634146341463415,0.975609756097561,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181,60.7,0.7,2.9,3.6,23.6,4,8,200,850,0.235,0
"Hakeem Olajuwon","olajuha01",1989,"HOU",26,82,0.548780487804878,1,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197,55.2,0.2,6.5,6.6,28.2,5,2,179.3,850,0.211,0
"Charles Barkley","barklch01",1989,"PHI",25,79,0.560975609756098,0.963414634146341,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25,65.3,7.6,0.4,8,24.4,6,0,94.3,850,0.111,0
"John Stockton","stockjo01",1989,"UTA",26,82,0.621951219512195,1,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236,62.4,7.5,2.8,10.3,19.1,7,0,28,850,0.033,0
"Kevin Johnson","johnske02",1989,"PHO",22,81,0.670731707317073,0.98780487804878,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184,59.7,5.4,-0.1,5.3,21.2,8,0,22,850,0.026,0
"Tom Chambers","chambto01",1989,"PHO",29,81,0.670731707317073,0.98780487804878,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146,54.7,1.2,0.3,1.4,28.2,9,0,20,850,0.024,0
"Mark Price","pricema01",1989,"CLE",24,75,0.695121951219512,0.914634146341463,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199,62.3,5.2,-0.1,5.1,21,10,0,18,850,0.021,0
"Brad Daugherty","daughbr01",1989,"CLE",23,78,0.695121951219512,0.951219512195122,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164,59.4,0.2,1.6,1.8,22.2,11,0,4,850,0.005,0
"Robert Parish","parisro01",1989,"BOS",35,80,0.51219512195122,0.975609756097561,35.5,18.6,12.5,2.2,1,1.5,0.57,NA,0.719,10.5,0.177,60.7,2,1.2,3.2,20.9,11,0,4,850,0.005,0
"Mark Eaton","eatonma01",1989,"UTA",32,82,0.621951219512195,1,35.5,6.2,10.3,1,0.5,3.8,0.462,NA,0.66,6.6,0.108,51.3,-3.6,4.6,1,9.2,13,0,3,850,0.004,0
"Moses Malone","malonmo01",1989,"ATL",33,81,0.634146341463415,0.98780487804878,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,0.178,58.1,1.5,0.7,2.3,23.4,13,0,3,850,0.004,0
"Chris Mullin","mullich01",1989,"GSW",25,82,0.524390243902439,1,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165,58.1,3.4,0.4,3.8,26.6,13,0,3,850,0.004,0
"Larry Nance","nancela01",1989,"CLE",29,73,0.695121951219512,0.890243902439024,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197,59,1.3,1.9,3.2,19.9,13,0,3,850,0.004,0
"Terry Cummings","cummite01",1989,"MIL",27,80,0.597560975609756,0.975609756097561,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131,51.8,1.4,0.7,2.1,28.9,17,0,1,850,0.001,0
"Joe Dumars","dumarjo01",1989,"DET",25,69,0.768292682926829,0.841463414634146,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7,0.14,57.1,2.7,-0.6,2.1,21.6,17,0,1,850,0.001,0
"Isiah Thomas","thomais01",1989,"DET",27,80,0.768292682926829,0.975609756097561,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115,52.8,2.2,0.9,3.1,24.6,17,0,1,850,0.001,0
"Michael Jordan","jordami01",1988,"CHI",24,82,0.609756097560976,1,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,60.3,7.8,3.8,11.7,34.1,1,47,665,800,0.831,1
"Larry Bird","birdla01",1988,"BOS",31,76,0.695121951219512,0.926829268292683,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243,60.8,7.4,1.5,8.9,30.2,2,16,527,800,0.659,0
"Magic Johnson","johnsma02",1988,"LAL",28,72,0.75609756097561,0.878048780487805,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199,58.1,6,0,6,23.4,3,16,508,800,0.635,0
"Charles Barkley","barklch01",1988,"PHI",24,80,0.439024390243902,0.975609756097561,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,66.5,6.9,0.3,7.1,26.7,4,1,109,800,0.136,0
"Clyde Drexler","drexlcl01",1988,"POR",25,81,0.646341463414634,0.98780487804878,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,56.4,5.6,1.7,7.3,28,5,0,86,800,0.108,0
"Dominique Wilkins","wilkido01",1988,"ATL",28,78,0.609756097560976,0.951219512195122,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16,53.4,3.7,0.1,3.8,35.2,6,0,55,800,0.069,0
"Hakeem Olajuwon","olajuha01",1988,"HOU",25,79,0.560975609756098,0.963414634146341,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182,55.5,0.3,5.1,5.3,26.5,7,0,40,800,0.05,0
"Karl Malone","malonka01",1988,"UTA",24,82,0.573170731707317,1,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152,56.8,0.1,0.9,1,29.7,8,0,36,800,0.045,0
"Fat Lever","leverfa01",1988,"DEN",27,82,0.658536585365854,1,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,51.6,3.8,2.4,6.1,21.4,9,0,26,800,0.033,0
"John Stockton","stockjo01",1988,"UTA",25,82,0.573170731707317,1,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238,64.5,7.6,2.7,10.3,17.2,10,0,15,800,0.019,0
"Alex English","englial01",1988,"DEN",34,80,0.658536585365854,0.975609756097561,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129,53.5,2.2,-1.2,1,28.4,11,0,4,800,0.005,0
"Isiah Thomas","thomais01",1988,"DET",26,81,0.658536585365854,0.98780487804878,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124,52.1,2.7,0.7,3.3,25.4,12,0,3,800,0.004,0
"Mark Jackson","jacksma01",1988,"NYK",22,82,0.463414634146341,1,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113,49.3,2.9,1.4,4.3,17.3,13,0,2,800,0.003,0
"Michael Adams","adamsmi01",1988,"DEN",25,82,0.658536585365854,1,33.9,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13,56,2.7,1,3.7,16.2,14,0,1,800,0.001,0
"Mark Aguirre","aguirma01",1988,"DAL",28,77,0.646341463414634,0.939024390243902,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163,53.9,3.5,-0.7,2.9,31.6,14,0,1,800,0.001,0
"Adrian Dantley","dantlad01",1988,"DET",32,69,0.658536585365854,0.841463414634146,31.1,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,0.21,61.9,3.7,-1,2.6,24.2,14,0,1,800,0.001,0
"Buck Williams","willibu01",1988,"NJN",27,70,0.231707317073171,0.853658536585366,37.7,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138,60.3,0.8,0,0.8,20,14,0,1,800,0.001,0
"Magic Johnson","johnsma02",1987,"LAL",27,80,0.792682926829268,0.975609756097561,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,60.2,8.2,0.6,8.7,26.3,1,65,733,780,0.94,1
"Michael Jordan","jordami01",1987,"CHI",23,82,0.48780487804878,1,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,56.2,5.6,2.9,8.4,38.3,2,10,449,780,0.576,0
"Larry Bird","birdla01",1987,"BOS",30,74,0.719512195121951,0.902439024390244,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,61.2,7,2,9,27.5,3,1,271,780,0.347,0
"Kevin McHale","mchalke01",1987,"BOS",29,77,0.719512195121951,0.939024390243902,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232,65.5,4.4,0.4,4.9,24.1,4,0,254,780,0.326,0
"Dominique Wilkins","wilkido01",1987,"ATL",27,79,0.695121951219512,0.963414634146341,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,54.3,4.2,0.7,4.9,32.3,5,0,128,780,0.164,0
"Charles Barkley","barklch01",1987,"PHI",23,68,0.548780487804878,0.829268292682927,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,66,5.4,0.9,6.4,23.1,6,1,113,780,0.145,0
"Hakeem Olajuwon","olajuha01",1987,"HOU",24,75,0.51219512195122,0.914634146341463,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,55.4,0.6,5.1,5.8,26.8,7,1,28,780,0.036,0
"Isiah Thomas","thomais01",1987,"DET",25,81,0.634146341463415,0.98780487804878,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121,52.8,3.1,0.4,3.4,25.9,8,0,17,780,0.022,0
"Fat Lever","leverfa01",1987,"DEN",26,82,0.451219512195122,1,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,51.5,3.7,1.9,5.5,21.1,9,0,11,780,0.014,0
"Moses Malone","malonmo01",1987,"WSB",31,73,0.51219512195122,0.890243902439024,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182,54.5,1.5,0.6,2.1,29.3,10,0,9,780,0.012,0
"Steve Johnson","johnsst03",1987,"POR",29,79,0.597560975609756,0.963414634146341,29.7,16.8,7.2,2,0.6,1,0.556,NA,0.698,4.4,0.091,60.2,-1.8,-0.7,-2.5,23.1,11,0,4,780,0.005,0
"Karl Malone","malonka01",1987,"UTA",23,82,0.536585365853659,1,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116,53.6,-1,0.8,-0.2,26.3,12,0,3,780,0.004,0
"Robert Parish","parisro01",1987,"BOS",33,80,0.719512195121951,0.975609756097561,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147,58.8,-0.1,2,1.9,19.7,12,0,3,780,0.004,0
"Alex English","englial01",1987,"DEN",33,82,0.451219512195122,1,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126,54.9,2.8,-1.8,0.9,29.2,14,0,2,780,0.003,0
"Mark Aguirre","aguirma01",1987,"DAL",27,80,0.670731707317073,0.975609756097561,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16,56,4,-0.9,3.1,31.3,15,0,1,780,0.001,0
"Rolando Blackman","blackro01",1987,"DAL",27,80,0.670731707317073,0.975609756097561,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14,56.9,2.5,-1.8,0.7,24.3,15,0,1,780,0.001,0
"Joe Barry Carroll","carrojo01",1987,"GSW",28,81,0.51219512195122,0.98780487804878,33.6,21.2,7.3,2.6,1.1,1.5,0.472,NA,0.787,4.6,0.082,52.1,-1.7,0.2,-1.4,27.8,15,0,1,780,0.001,0
"Larry Bird","birdla01",1986,"BOS",29,82,0.817073170731707,1,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,58,6.1,2.6,8.8,27.6,1,73,765,780,0.981,1
"Dominique Wilkins","wilkido01",1986,"ATL",26,78,0.609756097560976,0.951219512195122,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,53.6,2.9,1,3.9,32.9,2,5,407,780,0.522,0
"Magic Johnson","johnsma02",1986,"LAL",26,72,0.75609756097561,0.878048780487805,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,61,7,0.3,7.3,21.6,3,0,205,780,0.263,0
"Hakeem Olajuwon","olajuha01",1986,"HOU",23,68,0.621951219512195,0.829268292682927,36.3,23.5,11.5,2,2,3.4,0.526,NA,0.645,9.5,0.186,56,1.5,3.7,5.2,25.6,4,0,193,780,0.247,0
"Kareem Abdul-Jabbar","abdulka01",1986,"LAL",38,79,0.75609756097561,0.963414634146341,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,60.3,2.4,1.4,3.8,26.6,5,0,135,780,0.173,0
"Charles Barkley","barklch01",1986,"PHI",22,80,0.658536585365854,0.975609756097561,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,61.9,3.2,2,5.3,22.4,6,0,133,780,0.171,0
"Sidney Moncrief","moncrsi01",1986,"MIL",28,73,0.695121951219512,0.890243902439024,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,60.4,4.4,0.3,4.8,21.8,7,0,56,780,0.072,0
"Alex English","englial01",1986,"DEN",32,81,0.573170731707317,0.98780487804878,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,56.2,2.8,-1.4,1.4,30.5,8,0,55,780,0.071,0
"Isiah Thomas","thomais01",1986,"DET",24,77,0.560975609756098,0.939024390243902,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,55.4,4.7,0.5,5.2,24.4,9,0,28,780,0.036,0
"Moses Malone","malonmo01",1986,"PHI",30,74,0.658536585365854,0.902439024390244,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157,55.3,0.3,0.1,0.4,27.6,10,0,21,780,0.027,0
"Terry Cummings","cummite01",1986,"MIL",24,82,0.695121951219512,1,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,0.133,50.3,0.1,1.6,1.6,27.2,11,0,9,780,0.012,0
"James Worthy","worthja01",1986,"LAL",24,75,0.75609756097561,0.914634146341463,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185,61.3,3.3,0.8,4.1,22.6,12,0,7,780,0.009,0
"Kevin McHale","mchalke01",1986,"BOS",28,68,0.817073170731707,0.829268292682927,35.3,21.3,8.1,2.7,0.4,2,0.574,NA,0.776,11,0.22,62.3,3.2,0.6,3.7,22.5,13,0,3,780,0.004,0
"Paul Pressey","presspa01",1986,"MIL",27,80,0.695121951219512,0.975609756097561,33.8,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174,56.4,4,2.3,6.3,18.6,13,0,3,780,0.004,0
"Alvin Robertson","roberal01",1986,"SAS",23,82,0.426829268292683,1,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,56.3,2.7,3.9,6.6,20.9,13,0,3,780,0.004,0
"Adrian Dantley","dantlad01",1986,"UTA",30,76,0.51219512195122,0.926829268292683,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223,62.9,5,-1.3,3.6,30,16,0,2,780,0.003,0
"Buck Williams","willibu01",1986,"NJN",25,82,0.475609756097561,1,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106,56.5,-0.4,0.3,-0.1,18.1,16,0,2,780,0.003,0
"Dennis Johnson","johnsde01",1986,"BOS",31,78,0.817073170731707,0.951219512195122,35,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118,50.9,1,0.7,1.7,20.5,18,0,1,780,0.001,0
"Larry Bird","birdla01",1985,"BOS",28,80,0.768292682926829,0.975609756097561,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,58.5,5.9,2,7.9,28.5,1,73,763,780,0.978,1
"Magic Johnson","johnsma02",1985,"LAL",25,77,0.75609756097561,0.939024390243902,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22,63.7,6.8,-0.1,6.7,20.5,2,1,264,780,0.338,0
"Moses Malone","malonmo01",1985,"PHI",29,79,0.707317073170732,0.963414634146341,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193,57.7,1.9,0.7,2.5,26.8,3,0,218,780,0.279,0
"Kareem Abdul-Jabbar","abdulka01",1985,"LAL",37,79,0.75609756097561,0.963414634146341,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204,62.8,2.5,1.7,4.1,24.3,4,0,206,780,0.264,0
"Terry Cummings","cummite01",1985,"MIL",23,79,0.719512195121951,0.963414634146341,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189,53.6,2.1,1.9,4,28.8,5,2,138,780,0.177,0
"Michael Jordan","jordami01",1985,"CHI",21,82,0.463414634146341,1,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,59.2,5.9,1.6,7.5,29.8,6,2,134,780,0.172,0
"Bernard King","kingbe01",1985,"NYK",28,55,0.292682926829268,0.670731707317073,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166,58.5,3.8,-0.9,2.9,35.1,7,0,70,780,0.09,0
"Sidney Moncrief","moncrsi01",1985,"MIL",27,73,0.719512195121951,0.890243902439024,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197,56.5,3.5,1.1,4.6,23.6,8,0,65,780,0.083,0
"Isiah Thomas","thomais01",1985,"DET",23,81,0.560975609756098,0.98780487804878,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173,52.9,6.3,0.9,7.2,24,9,0,63,780,0.081,0
"Ralph Sampson","sampsra01",1985,"HOU",24,82,0.585365853658537,1,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096,53.3,-1.4,0.8,-0.5,25.9,10,0,26,780,0.033,0
"Calvin Natt","nattca01",1985,"DEN",28,78,0.634146341463415,0.951219512195122,34.1,23.3,7.8,3.1,1,0.4,0.546,0,0.793,10.2,0.185,60.4,3.3,-1.1,2.2,24.1,11,0,22,780,0.028,0
"Alex English","englial01",1985,"DEN",31,81,0.634146341463415,0.98780487804878,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,8.9,0.146,56.1,3.2,-1,2.2,29.3,12,0,12,780,0.015,0
"Hakeem Olajuwon","olajuha01",1985,"HOU",22,82,0.585365853658537,1,35.5,20.6,11.9,1.4,1.2,2.7,0.538,NA,0.613,10.2,0.168,56.4,0.8,3,3.8,23.5,12,0,12,780,0.015,0
"Micheal Ray Richardson","richami01",1985,"NJN",29,82,0.51219512195122,1,38.1,20.1,5.6,8.2,3,0.3,0.469,0.252,0.767,8.7,0.134,51.3,3.1,2.2,5.3,24,14,0,11,780,0.014,0
"Andrew Toney","toneyan01",1985,"PHI",27,70,0.707317073170732,0.853658536585366,32,17.8,2.5,5.2,0.9,0.3,0.492,0.371,0.862,5.5,0.118,58.2,2.5,-2,0.5,23.3,15,0,5,780,0.006,0
