"Name","PlayerID","Year","Rank","MVP","First","Pts.Won","Pts.Max","Share","Age","Tm","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","raptorWAR","USG"
"DeMar DeRozan","derozde01",2017,11,0,0,1,1010,0.001,27,"TOR",74,0.621951219512195,0.902439024390244,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,0.166,55.2,2.5,-2,0.5,4.28,34.3
"Kawhi Leonard","leonaka01",2016,2,0,0,634,1310,0.484,24,"SAS",72,0.817073170731707,0.878048780487805,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,61.6,5,5.1,10.1,15.53,25.8
"LeBron James","jamesle01",2016,3,0,0,631,1310,0.482,31,"CLE",76,0.695121951219512,0.926829268292683,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,58.8,6.1,1.4,7.5,14.18,31.4
"Russell Westbrook","westbru01",2016,4,0,0,486,1310,0.371,27,"OKC",80,0.670731707317073,0.975609756097561,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,55.4,6.4,0,6.4,13.09,31.6
"Kevin Durant","duranke01",2016,5,0,0,147,1310,0.112,27,"OKC",72,0.670731707317073,0.878048780487805,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,63.4,6.2,0,6.2,11.99,30.6
"Chris Paul","paulch01",2016,6,0,0,107,1310,0.082,30,"LAC",74,0.646341463414634,0.902439024390244,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,57.5,7.5,1.6,9,14.55,27.1
"Draymond Green","greendr01",2016,7,0,0,50,1310,0.038,25,"GSW",81,0.890243902439024,0.98780487804878,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,58.7,4.2,5.2,9.4,17.82,18.8
"Damian Lillard","lillada01",2016,8,0,0,26,1310,0.02,25,"POR",75,0.536585365853659,0.914634146341463,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,56,5,-2.1,2.9,7.87,31.3
"James Harden","hardeja01",2016,9,0,0,9,1310,0.007,26,"HOU",82,0.5,1,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,59.8,5.7,-0.6,5,12.6,32.5
"Kyle Lowry","lowryky01",2016,10,0,0,6,1310,0.005,29,"TOR",77,0.682926829268293,0.939024390243902,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,57.8,5.5,0.3,5.8,12.44,26.1
"James Harden","hardeja01",2015,2,0,25,936,1300,0.72,25,"HOU",81,0.682926829268293,0.98780487804878,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,60.5,7.7,0.1,7.7,16.13,31.3
"LeBron James","jamesle01",2015,3,0,5,552,1300,0.425,30,"CLE",69,0.646341463414634,0.841463414634146,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,57.7,5.3,-0.1,5.1,10.09,32.3
"Russell Westbrook","westbru01",2015,4,0,0,352,1300,0.271,26,"OKC",67,0.548780487804878,0.817073170731707,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,53.6,6.1,-0.5,5.6,10.12,38.4
"Anthony Davis","davisan02",2015,5,0,0,203,1300,0.156,21,"NOP",68,0.548780487804878,0.829268292682927,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,59.1,4.3,4.5,8.8,14.53,27.8
"Chris Paul","paulch01",2015,6,0,0,124,1300,0.095,29,"LAC",82,0.682926829268293,1,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,59.6,8.5,2.1,10.6,19.42,23.7
"LaMarcus Aldridge","aldrila01",2015,7,0,0,6,1300,0.005,29,"POR",71,0.621951219512195,0.865853658536585,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,52.8,2.4,1.9,4.3,8.94,30.2
"Marc Gasol","gasolma01",2015,8,0,0,3,1300,0.002,30,"MEM",81,0.670731707317073,0.98780487804878,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,55.8,1.4,2.6,4,9.26,24.6
"Blake Griffin","griffbl01",2015,8,0,0,3,1300,0.002,25,"LAC",67,0.682926829268293,0.817073170731707,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,55.1,3.2,-1.2,2,5.71,28.4
"Tim Duncan","duncati01",2015,10,0,0,1,1300,0.001,38,"SAS",77,0.670731707317073,0.939024390243902,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,56,-0.2,3.5,3.3,6.85,22.2
"Kawhi Leonard","leonaka01",2015,10,0,0,1,1300,0.001,23,"SAS",64,0.670731707317073,0.780487804878049,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,56.7,3.7,5.2,8.9,12.11,23
"Klay Thompson","thompkl01",2015,10,0,0,1,1300,0.001,24,"GSW",77,0.817073170731707,0.939024390243902,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,59.1,4.3,1,5.3,10.26,27.6
"LeBron James","jamesle01",2014,2,0,6,891,1250,0.713,29,"MIA",77,0.658536585365854,0.939024390243902,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,64.9,5.8,-1.3,4.6,10.89,31
"Blake Griffin","griffbl01",2014,3,0,0,434,1250,0.347,24,"LAC",80,0.695121951219512,0.975609756097561,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,58.3,2.9,0.3,3.2,8.74,29
"Joakim Noah","noahjo01",2014,4,0,0,322,1250,0.258,28,"CHI",80,0.585365853658537,0.975609756097561,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,53.1,1.5,4.5,5.9,12.46,18.7
"James Harden","hardeja01",2014,5,0,0,85,1250,0.068,24,"HOU",73,0.658536585365854,0.890243902439024,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,61.8,6.3,-0.3,6.1,12.65,27.8
"Stephen Curry","curryst01",2014,6,0,0,66,1250,0.053,25,"GSW",78,0.621951219512195,0.951219512195122,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,61,7.6,0.5,8.1,16.09,28.3
"Chris Paul","paulch01",2014,7,0,0,45,1250,0.036,28,"LAC",62,0.695121951219512,0.75609756097561,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,58,7.1,3.9,11,15.3,23.7
"Al Jefferson","jeffeal01",2014,8,0,0,34,1250,0.027,29,"CHA",73,0.524390243902439,0.890243902439024,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,53.2,-0.5,1.8,1.3,5.2,29.3
"Paul George","georgpa01",2014,9,0,0,33,1250,0.026,23,"IND",80,0.682926829268293,0.975609756097561,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,55.5,2.6,2.9,5.6,12.44,28.3
"LaMarcus Aldridge","aldrila01",2014,10,0,0,26,1250,0.021,28,"POR",69,0.658536585365854,0.841463414634146,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,50.7,1.1,2.2,3.4,7.72,29.8
"Kevin Love","loveke01",2014,11,0,0,25,1250,0.02,25,"MIN",77,0.48780487804878,0.939024390243902,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,59.1,5.7,0.9,6.6,13.58,28.8
"Tim Duncan","duncati01",2014,12,0,0,21,1250,0.017,37,"SAS",74,0.75609756097561,0.902439024390244,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,0.164,53.5,-1.3,3,1.7,4.95,25.2
"Tony Parker","parketo01",2014,12,0,0,21,1250,0.017,31,"SAS",68,0.75609756097561,0.829268292682927,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,55.5,0.9,-1,-0.1,2.67,26.5
"Dirk Nowitzki","nowitdi01",2014,14,0,0,7,1250,0.006,35,"DAL",80,0.597560975609756,0.975609756097561,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199,60.3,4.4,0.4,4.7,10.06,26.9
"Carmelo Anthony","anthoca01",2014,15,0,0,4,1250,0.003,29,"NYK",77,0.451219512195122,0.939024390243902,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172,56.1,4.2,-0.4,3.8,9.86,32.4
"Goran Dragić","dragigo01",2014,16,0,0,3,1250,0.002,27,"PHO",76,0.585365853658537,0.926829268292683,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,60.4,4.8,0.2,5,10.55,24.5
"Mike Conley","conlemi01",2014,17,0,0,1,1250,0.001,26,"MEM",73,0.609756097560976,0.890243902439024,33.5,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,8.2,0.161,54.5,3.5,0.4,3.8,8.11,24.6
"Kevin Durant","duranke01",2013,2,0,0,765,1210,0.632,24,"OKC",81,0.731707317073171,0.98780487804878,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,64.7,6.7,1,7.7,16.56,29.8
"Carmelo Anthony","anthoca01",2013,3,0,1,475,1210,0.393,28,"NYK",67,0.658536585365854,0.817073170731707,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,56,4.5,-2.2,2.3,6.36,35.6
"Chris Paul","paulch01",2013,4,0,0,289,1210,0.239,27,"LAC",70,0.682926829268293,0.853658536585366,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,59.4,7.9,1.4,9.3,14.33,22.6
"Kobe Bryant","bryanko01",2013,5,0,0,184,1210,0.152,34,"LAL",78,0.548780487804878,0.951219512195122,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174,57,4.9,-0.9,4.1,10.5,31.9
"Tony Parker","parketo01",2013,6,0,0,86,1210,0.071,30,"SAS",66,0.707317073170732,0.804878048780488,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,58.8,4.2,-0.6,3.7,7.04,27.7
"Tim Duncan","duncati01",2013,7,0,0,65,1210,0.054,36,"SAS",69,0.707317073170732,0.841463414634146,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,55.4,0,4.5,4.5,7.59,27.8
"James Harden","hardeja01",2013,8,0,0,33,1210,0.027,23,"HOU",78,0.548780487804878,0.951219512195122,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,60,5.5,-0.9,4.6,11.27,29
